L1,gender,subset,speakers,vowel,label,n_tokens,F1_obs,F1_SD,F1_Hil,dF1_Hil,F1_Hag,dF1_Hag,F2_obs,F2_SD,F2_Hil,dF2_Hil,F2_Hag,dF2_Hag
SPA,F,all,3,i,i  (heed),520,433.0,119.0,437,-4.0,437,-4.0,2467.0,306.0,2761,-294.0,2685,-218.0
SPA,F,all,3,ɪ,ɪ  (hid),474,454.0,115.0,483,-29.0,595,-141.0,2397.0,275.0,2365,32.0,2289,108.0
SPA,F,all,3,ɛ,ɛ  (head),344,635.0,108.0,731,-96.0,748,-113.0,2024.0,271.0,2058,-34.0,2099,-75.0
SPA,F,all,3,æ,æ  (had),385,842.0,114.0,669,173.0,914,-72.0,1845.0,173.0,2349,-504.0,2046,-201.0
SPA,F,all,3,ɑ,ɑ  (hod),189,816.0,112.0,936,-120.0,861,-45.0,1485.0,206.0,1551,-66.0,1437,48.0
SPA,F,all,3,ʊ,ʊ  (hood),64,489.0,149.0,519,-30.0,575,-86.0,1446.0,296.0,1225,221.0,1521,-75.0
SPA,F,all,3,u,u  (who'd),144,417.0,90.0,459,-42.0,470,-53.0,1245.0,265.0,1105,140.0,1700,-455.0
SPA,F,all,3,ʌ,ʌ  (hud),523,743.0,114.0,753,-10.0,799,-56.0,1593.0,266.0,1426,167.0,1567,26.0
SPA,F,stressed,3,i,i  (heed),224,421.0,114.0,437,-16.0,437,-16.0,2524.0,258.0,2761,-237.0,2685,-161.0
SPA,F,stressed,3,ɪ,ɪ  (hid),385,452.0,107.0,483,-31.0,595,-143.0,2403.0,279.0,2365,38.0,2289,114.0
SPA,F,stressed,3,ɛ,ɛ  (head),341,636.0,108.0,731,-95.0,748,-112.0,2022.0,272.0,2058,-36.0,2099,-77.0
SPA,F,stressed,3,æ,æ  (had),381,844.0,114.0,669,175.0,914,-70.0,1842.0,171.0,2349,-507.0,2046,-204.0
SPA,F,stressed,3,ɑ,ɑ  (hod),189,816.0,112.0,936,-120.0,861,-45.0,1485.0,206.0,1551,-66.0,1437,48.0
SPA,F,stressed,3,ʊ,ʊ  (hood),64,489.0,149.0,519,-30.0,575,-86.0,1446.0,296.0,1225,221.0,1521,-75.0
SPA,F,stressed,3,u,u  (who'd),142,418.0,91.0,459,-41.0,470,-52.0,1242.0,265.0,1105,137.0,1700,-458.0
SPA,F,stressed,3,ʌ,ʌ  (hud),523,743.0,114.0,753,-10.0,799,-56.0,1593.0,266.0,1426,167.0,1567,26.0
SPA,F,citation,3,i,i  (heed),90,412.0,95.0,437,-25.0,437,-25.0,2576.0,222.0,2761,-185.0,2685,-109.0
SPA,F,citation,3,ɪ,ɪ  (hid),86,450.0,109.0,483,-33.0,595,-145.0,2404.0,325.0,2365,39.0,2289,115.0
SPA,F,citation,3,ɛ,ɛ  (head),187,629.0,105.0,731,-102.0,748,-119.0,2068.0,242.0,2058,10.0,2099,-31.0
SPA,F,citation,3,æ,æ  (had),148,885.0,108.0,669,216.0,914,-29.0,1824.0,158.0,2349,-525.0,2046,-222.0
SPA,F,citation,3,ɑ,ɑ  (hod),95,826.0,118.0,936,-110.0,861,-35.0,1466.0,189.0,1551,-85.0,1437,29.0
SPA,F,citation,3,ʊ,ʊ  (hood),26,465.0,149.0,519,-54.0,575,-110.0,1279.0,262.0,1225,54.0,1521,-242.0
SPA,F,citation,3,u,u  (who'd),48,416.0,80.0,459,-43.0,470,-54.0,1208.0,211.0,1105,103.0,1700,-492.0
SPA,F,citation,3,ʌ,ʌ  (hud),104,805.0,104.0,753,52.0,799,6.0,1480.0,258.0,1426,54.0,1567,-87.0
SPA,M,all,8,i,i  (heed),1264,374.0,98.0,342,32.0,294,80.0,2153.0,198.0,2322,-169.0,2208,-55.0
SPA,M,all,8,ɪ,ɪ  (hid),1087,411.0,99.0,427,-16.0,458,-47.0,2090.0,237.0,2034,56.0,1860,230.0
SPA,M,all,8,ɛ,ɛ  (head),802,568.0,74.0,580,-12.0,584,-16.0,1720.0,185.0,1799,-79.0,1719,1.0
SPA,M,all,8,æ,æ  (had),815,703.0,95.0,588,115.0,761,-58.0,1535.0,175.0,1952,-417.0,1633,-98.0
SPA,M,all,8,ɑ,ɑ  (hod),518,681.0,80.0,768,-87.0,731,-50.0,1222.0,153.0,1333,-111.0,1118,104.0
SPA,M,all,8,ʊ,ʊ  (hood),197,415.0,87.0,469,-54.0,465,-50.0,1339.0,306.0,1122,217.0,1227,112.0
SPA,M,all,8,u,u  (who'd),411,407.0,102.0,378,29.0,389,18.0,1327.0,324.0,997,330.0,1395,-68.0
